date,price
1998-07-15,835.62
1998-07-22,895.0
1998-07-29,904.0
1998-08-05,909.0
1998-08-12,918.5
1998-08-19,927.0
1998-08-26,934.5
1998-09-02,956.0
1998-09-09,963.89
1998-09-16,949.5
1998-09-23,947.5
1998-09-30,978.33
1998-10-07,960.5
1998-10-14,952.5
1998-10-21,947.5
1998-10-28,957.5
1998-11-04,952.5
1998-11-11,939.5
1998-11-18,943.5
1998-11-25,946.5
1998-12-02,980.56
1998-12-09,955.56
1998-12-16,922.0
1998-12-23,912.5
1998-12-30,917.5
1999-01-06,912.5
1999-01-13,907.5
1999-01-20,915.0
1999-01-27,925.0
1999-02-03,956.25
1999-02-10,925.0
1999-02-17,927.5
1999-02-24,990.62
1999-03-03,932.5
1999-03-10,859.38
1999-03-17,917.5
1999-03-24,925.0
1999-03-31,930.0
1999-04-07,925.0
1999-04-14,921.5
1999-04-21,959.38
1999-04-28,915.0
1999-05-05,939.5
1999-05-12,932.5
1999-05-19,946.5
1999-05-26,940.5
1999-06-02,955.0
1999-06-09,962.5
1999-06-16,980.0
1999-06-23,987.0
1999-06-30,990.0
1999-07-07,977.0
1999-07-14,989.0
1999-07-21,1012.78
1999-07-28,994.5
1999-08-04,993.5
1999-08-11,1009.0
1999-08-18,1018.5
1999-08-25,1027.0
1999-09-01,1031.0
1999-09-08,1043.0
1999-09-15,1062.5
1999-09-22,1060.0
1999-09-29,1059.5
1999-10-06,1065.5
1999-10-13,1036.0
1999-10-20,1042.5
1999-10-27,1039.0
1999-11-03,1048.0
1999-11-10,1027.5
1999-11-17,993.89
1999-11-24,1071.88
1999-12-01,1021.5
1999-12-08,1016.0
1999-12-15,1019.0
1999-12-22,1019.0
1999-12-29,1012.5
2000-01-05,1016.5
2000-01-12,1027.5
2000-01-19,1018.0
2000-01-26,1013.5
2000-02-02,1024.0
2000-02-09,1026.5
2000-02-16,1024.0
2000-02-23,1043.12
2000-03-01,1027.5
2000-03-08,1026.5
2000-03-15,1026.5
2000-03-22,1021.5
2000-03-29,1017.5
2000-04-05,1016.0
2000-04-12,1062.22
2000-04-19,1037.5
2000-04-26,1045.5
2000-05-03,1051.0
2000-05-10,1056.5
2000-05-17,1061.0
2000-05-24,1060.56
2000-05-31,1055.5
2000-06-07,1054.0
2000-06-14,1057.5
2000-06-21,1060.0
2000-06-28,1070.5
2000-07-05,1065.5
2000-07-12,1080.5
2000-07-19,1064.5
2000-07-26,1065.5
2000-08-02,1064.5
2000-08-09,1033.12
2000-08-16,1054.0
2000-08-23,1053.5
2000-08-30,1052.5
2000-09-06,1033.5
2000-09-13,1028.5
2000-09-20,1001.5
2000-09-27,970.0
2000-10-04,965.5
2000-10-11,965.0
2000-10-18,955.5
2000-10-25,955.5
2000-11-01,972.5
2000-11-08,943.0
2000-11-15,950.5
2000-11-22,963.12
2000-11-29,963.12
2000-12-06,965.56
2000-12-13,961.25
2000-12-20,945.5
2000-12-27,938.5
2001-01-03,946.0
2001-01-10,940.0
2001-01-17,947.5
2001-01-24,919.44
2001-01-31,952.5
2001-02-07,952.5
2001-02-14,909.38
2001-02-21,950.0
2001-02-28,945.5
2001-03-07,945.5
2001-03-14,950.5
2001-03-21,945.5
2001-03-28,946.5
2001-04-04,949.0
2001-04-11,949.0
2001-04-18,966.88
2001-04-25,949.0
2001-05-02,966.5
2001-05-09,957.22
2001-05-16,946.88
2001-05-23,982.5
2001-05-30,982.5
2001-06-06,982.5
2001-06-13,987.5
2001-06-20,985.5
2001-06-27,985.5
2001-07-04,985.5
2001-07-11,985.5
2001-07-18,985.5
2001-07-25,977.5
2001-08-01,976.5
2001-08-08,966.5
2001-08-15,966.5
2001-08-22,966.0
2001-08-29,968.0
2001-09-05,965.0
2001-09-12,965.0
2001-09-19,962.5
2001-09-26,1008.75
2001-10-03,1010.62
2001-10-10,1023.12
2001-10-17,953.0
2001-10-24,943.0
2001-10-31,943.0
2001-11-07,943.0
2001-11-14,941.1
2001-11-21,942.6
2001-11-28,956.1
2001-12-05,951.1
2001-12-12,934.0
2001-12-19,926.5
2001-12-26,925.5
2002-01-02,923.5
2002-01-09,934.5
2002-01-16,929.5
2002-01-23,923.0
2002-01-30,915.5
2002-02-06,914.5
2002-02-13,918.0
2002-02-20,943.0
2002-02-27,961.11
2002-03-06,914.29
2002-03-13,900.62
2002-03-20,900.62
2002-03-27,913.0
2002-04-03,920.5
2002-04-10,925.5
2002-04-17,920.5
2002-04-24,920.0
2002-05-01,920.0
2002-05-08,923.5
2002-05-15,926.0
2002-05-22,923.5
2002-05-29,919.0
2002-06-05,904.5
2002-06-12,896.0
2002-06-19,921.67
2002-06-26,908.0
2002-07-03,902.0
2002-07-10,897.0
2002-07-17,896.0
2002-07-24,906.0
2002-07-31,914.5
2002-08-07,917.5
2002-08-14,969.5
2002-08-21,985.0
